ROW_ID,ESTABLISHMENT_ID,INSPECTION_ID,ESTABLISHMENT_NAME,REVIEW,VALUE,CUISINE_TYPE,ESTABLISHMENT_TYPE,ESTABLISHMENT_ADDRESS,ESTABLISHMENT_STATUS,MINIMUM_INSPECTIONS_PERYEAR,INFRACTION_DETAILS,INSPECTION_DATE,SEVERITY,ACTION,COURT_OUTCOME,AMOUNT_FINED
1,1222579,103868579,SAI-LILA KHAMAN DHOKLA HOUSE,5,1,South Asian,Food Take Out,870 MARKHAM RD,Pass,2,Operator fail to properly wash equipment,21-12-2016,M - Minor,Notice to Comply,NULL,NULL
4,1222807,103472815,PHO BO TO,3.5,1,Far Eastern,Restaurant,1635 LAWRENCE AVE W,Pass,3,Operator fail to properly wash equipment,23-04-2015,M - Minor,Notice to Comply,NULL,NULL
5,1222807,103537032,PHO BO TO,3.5,1,Far Eastern,Restaurant,1635 LAWRENCE AVE W,Pass,3,OPERATOR FAIL TO ENSURE COVER WILL PREVENT CONTAMINATION OR ADULTERATION O. REG  562/90 SEC. 59(C)(II),22-07-2015,S - Significant,Corrected During Inspection,NULL,NULL
6,1222807,103537032,PHO BO TO,3.5,1,Far Eastern,Restaurant,1635 LAWRENCE AVE W,Pass,3,Operator fail to properly maintain equipment(NON-FOOD),22-07-2015,M - Minor,Notice to Comply,NULL,NULL
7,1222807,103616870,PHO BO TO,3.5,1,Far Eastern,Restaurant,1635 LAWRENCE AVE W,Pass,3,NULL,26-11-2015,NULL,NULL,NULL,NULL
8,1222807,103702528,PHO BO TO,3.5,1,Far Eastern,Restaurant,1635 LAWRENCE AVE W,Pass,3,NULL,05-04-2016,NULL,NULL,NULL,NULL
9,1222807,103732221,PHO BO TO,3.5,1,Far Eastern,Restaurant,1635 LAWRENCE AVE W,Pass,3,NULL,18-05-2016,NULL,NULL,NULL,NULL
10,1222807,103874297,PHO BO TO,3.5,1,Far Eastern,Restaurant,1635 LAWRENCE AVE W,Pass,3,NULL,29-12-2016,NULL,NULL,NULL,NULL
11,1223056,103541411,PIZZA PIZZA,3,2,European,Restaurant,606 BROWNS LINE,Pass,2,NULL,29-07-2015,NULL,NULL,NULL,NULL
12,1223056,103647049,PIZZA PIZZA,3,2,European,Restaurant,606 BROWNS LINE,Pass,2,NULL,07-01-2016,NULL,NULL,NULL,NULL
