ESTABLISHMENT_ID,ESTABLISHMENT_NAME,LONG_ADDRESS,SHORT_ADDRESS,DISTRICT,CITY,POSTAL_CODE
9337616,STARBUCKS,"1 ADELAIDE ST E, TORONTO, ON M5C 2V9, CANADA",1 ADELAIDE ST E,METRO TORONTO,TORONTO,M5C 2V9
10384957,TOUCH,"1 ADELAIDE ST E, TORONTO, ON M5C 2V9, CANADA",1 ADELAIDE ST E,METRO TORONTO,TORONTO,M5C 2V9
10390332,INTERNATIONAL NEWS,"1 ADELAIDE ST E, TORONTO, ON M5C 2V9, CANADA",1 ADELAIDE ST E,METRO TORONTO,TORONTO,M5C 2V9
10492908,CASA LOMA,"1 AUSTIN TERRACE, TORONTO, ON M5R 1X8, CANADA",1 AUSTIN TER,METRO TORONTO,TORONTO,M5R 1X8
10233710,STARBUCKS COFFEE CO,"1 AVONDALE AVE, NORTH YORK, ON M2N 7J1, CANADA",1 AVONDALE AVE,NORTH YORK,TORONTO,M2N 7J1
10480531,PIZZA NOVA,"1 AVONDALE AVE, NORTH YORK, ON M2N 7J1, CANADA",1 AVONDALE AVE,NORTH YORK,TORONTO,M2N 7J1
10527234,MO' RAMYUN,"1 BALDWIN ST, TORONTO, ON M5T 1L1, CANADA",1 BALDWIN ST,METRO TORONTO,TORONTO,M5T 1L1
10550136,BARNSTEINER'S,"1 BALMORAL AVE, TORONTO, ON M4V 3B9, CANADA",1 BALMORAL AVE,METRO TORONTO,TORONTO,M4V 3B9
10580268,EL TENEDOR,"1 BAXTER ST, TORONTO, ON M4W 2H2, CANADA",1 BAXTER ST,METRO TORONTO,TORONTO,M4W 2H2
10412094,STARBUCKS COFFEE,"1 BEDFORD RD, TORONTO, ON M5R 2J7, CANADA",1 BEDFORD RD,METRO TORONTO,TORONTO,M5R 2J7
9388071,SCARAMOUCHE,"1 BENVENUTO PL, TORONTO, ON M4V 2L1, CANADA",1 BENVENUTO PL,METRO TORONTO,TORONTO,M4V 2L1
9000241,FANTIS FOODS OF CANADA LTD.,"1 BESTOBELL RD, ETOBICOKE, ON M8W 4H2, CANADA",1 BESTOBELL RD,ETOBICOKE,TORONTO,M8W 4H2
9393543,THE BLUE GOOSE TAVERN,"1 BLUE GOOSE ST, ETOBICOKE, ON M8V, CANADA",1 BLUE GOOSE ST,ETOBICOKE,TORONTO,M8V
10300050,523-PIZZA NOVA,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10300063,239-QUEEN STREET,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10300071,120-HOGTOWN GRILL,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10325719,3-SATELLITE KITCHEN,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10325734,SIGHTLINES RESTAURANT,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10334795,131-GARRISON CREEK FLAT GRILL,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10349216,128-HOGTOWN GRILL CONCESSION,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10365046,106-MUDDY YORK,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10459523,509-BIG SMOKE FOOD CO.,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10459657,12 BAR,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10475296,204 - WEST JET FLIGHT DECK,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10531044,538.5-BIG SMOKE FOOD CO.,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10531046,234-CABBAGETOWN MERCANTILE,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10531049,114-HOGGS HOLLOW ICE COMPANY,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10531052,534-CABBAGETOWN MERCANTILE C-57,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10300596,EXECUTIVE LOUNGE LEVEL 300,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10364708,BLUE JAYS MEDIA LOUNGE,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10475817,214-GARRISON CREEK GRILL,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10531045,215-TWELVE KITCHEN,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10300086,115-PIZZA NOVA,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10325730,4-SATELLITE KITCHEN,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10417459,117-CORKTOWN FRESH BURGER,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10431055,GARRISON CREEK FLAT GRILL #112,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10494074,134-TORONTO STREET EATS,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10300066,220-MYM GOURMET FRITES,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10325721,2-SATELLITE KITCHEN,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10325728,1-SATELLITE KITCHEN,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10334654,529-CONCESSION,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10334786,109-MUDDY YORK,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10377042,ROUND HOUSE GRILL & PATIO,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10494072,137-QUEEN STREET EXPRESS,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10536426,BACARDI AT THE PARK,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10569363,STARBUCKS,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10300084,514-MUDDY YORK MARKET PLUS,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10334585,125-TORONTO SANDWICH CO.,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10459663,528-GARRISON CREEK,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10531048,533-MYM GOURMET FRITES,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
9015576,ARRIBA,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10431057,233-PIZZA NOVA,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10445478,123-QUEEN STREET,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10530683,512-CORKTOWN FRESH BURGER CART,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10300060,536-QUEEN STREET EXPRESS,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10300065,228-QUEEN STREET EXPRES,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10300069,209 - QUEEN ST EXPRESS,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10325736,MAIN PRODUCTION KITCHEN,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10334676,211-V-CONCESSION,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10364705,520-GARRISON CREEK (HOGTOWN),"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10435255,114-TIM HORTONS C07,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10561430,FOUNDER'S CLUB,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10300054,520-QUEEN STREET,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
10300083,TD CLUBHOUSE,"1 BLUE JAYS WAY, TORONTO, ON M5V 1J3, CANADA",1 BLUE JAYS WAY,METRO TORONTO,TORONTO,M5V 1J3
