"","ESTABLISHMENT_ID","INSPECTION_ID","ESTABLISHMENT_NAME","REVIEW","VALUE","CUISINE_TYPE","ESTABLISHMENT_TYPE","ESTABLISHMENT_STATUS","MINIMUM_INSPECTIONS_PERYEAR","INSPECTION_DATE","SEVERITY","ACTION","SHORT_ADDRESS","DISTRICT","CITY","POSTAL_CODE"
"1",1222579,103868579,"SAI-LILA KHAMAN DHOKLA HOUSE",5,1,"South Asian","Food Take Out","Pass",2,"21-12-2016","M - Minor","Notice to Comply","870 MARKHAM RD","SCARBOROUGH","TORONTO","M1H 2Y2"
"2",1222807,103472815,"PHO BO TO",3.5,1,"Far Eastern","Restaurant","Pass",3,"23-04-2015","M - Minor","Notice to Comply","1635 LAWRENCE AVE W","NORTH YORK","TORONTO","M6L 3C9"
"3",1222807,103537032,"PHO BO TO",3.5,1,"Far Eastern","Restaurant","Pass",3,"22-07-2015","S - Significant","Corrected During Inspection","1635 LAWRENCE AVE W","NORTH YORK","TORONTO","M6L 3C9"
"4",1222807,103537032,"PHO BO TO",3.5,1,"Far Eastern","Restaurant","Pass",3,"22-07-2015","M - Minor","Notice to Comply","1635 LAWRENCE AVE W","NORTH YORK","TORONTO","M6L 3C9"
"5",1222807,103616870,"PHO BO TO",3.5,1,"Far Eastern","Restaurant","Pass",3,"26-11-2015","NA - Not Applicable","No Action Required","1635 LAWRENCE AVE W","NORTH YORK","TORONTO","M6L 3C9"
"6",1222807,103702528,"PHO BO TO",3.5,1,"Far Eastern","Restaurant","Pass",3,"05-04-2016","NA - Not Applicable","No Action Required","1635 LAWRENCE AVE W","NORTH YORK","TORONTO","M6L 3C9"
"7",1222807,103732221,"PHO BO TO",3.5,1,"Far Eastern","Restaurant","Pass",3,"18-05-2016","NA - Not Applicable","No Action Required","1635 LAWRENCE AVE W","NORTH YORK","TORONTO","M6L 3C9"
"8",1222807,103874297,"PHO BO TO",3.5,1,"Far Eastern","Restaurant","Pass",3,"29-12-2016","NA - Not Applicable","No Action Required","1635 LAWRENCE AVE W","NORTH YORK","TORONTO","M6L 3C9"
"9",1223056,103541411,"PIZZA PIZZA",3,2,"European","Restaurant","Pass",2,"29-07-2015","NA - Not Applicable","No Action Required","606 BROWNS LINE","ETOBICOKE","TORONTO","M8W 3V3"
"10",1223056,103647049,"PIZZA PIZZA",3,2,"European","Restaurant","Pass",2,"07-01-2016","NA - Not Applicable","No Action Required","606 BROWNS LINE","ETOBICOKE","TORONTO","M8W 3V3"
"11",1223056,103769936,"PIZZA PIZZA",3,2,"European","Restaurant","Pass",2,"13-07-2016","NA - Not Applicable","No Action Required","606 BROWNS LINE","ETOBICOKE","TORONTO","M8W 3V3"
"12",1223056,103888059,"PIZZA PIZZA",3,2,"European","Restaurant","Pass",2,"10-01-2017","NA - Not Applicable","No Action Required","606 BROWNS LINE","ETOBICOKE","TORONTO","M8W 3V3"
"13",9000004,103449612,"PAPINO'S PIZZA",4,1,"European","Food Take Out","Pass",2,"18-03-2015","S - Significant","Corrected During Inspection","1788 JANE ST","NORTH YORK","TORONTO","M9N"
"14",9000004,103449612,"PAPINO'S PIZZA",4,1,"European","Food Take Out","Pass",2,"18-03-2015","M - Minor","Notice to Comply","1788 JANE ST","NORTH YORK","TORONTO","M9N"
"15",9000004,103531075,"PAPINO'S PIZZA",4,1,"European","Food Take Out","Pass",2,"15-07-2015","NA - Not Applicable","No Action Required","1788 JANE ST","NORTH YORK","TORONTO","M9N"
"16",9000004,103718836,"PAPINO'S PIZZA",4,1,"European","Food Take Out","Pass",2,"28-04-2016","M - Minor","Notice to Comply","1788 JANE ST","NORTH YORK","TORONTO","M9N"
"17",9000004,103802502,"PAPINO'S PIZZA",4,1,"European","Food Take Out","Pass",2,"26-08-2016","NA - Not Applicable","No Action Required","1788 JANE ST","NORTH YORK","TORONTO","M9N"
"18",9000026,103495689,"2-4-1 PIZZA",2.5,2,"European","Food Take Out","Pass",2,"21-05-2015","NA - Not Applicable","No Action Required","2372 EGLINTON AVE E","SCARBOROUGH","TORONTO","M1K 2P3"
"19",9000026,103587147,"2-4-1 PIZZA",2.5,2,"European","Food Take Out","Pass",2,"13-10-2015","S - Significant","Corrected During Inspection","2372 EGLINTON AVE E","SCARBOROUGH","TORONTO","M1K 2P3"
"20",9000026,103587147,"2-4-1 PIZZA",2.5,2,"European","Food Take Out","Pass",2,"13-10-2015","S - Significant","Corrected During Inspection","2372 EGLINTON AVE E","SCARBOROUGH","TORONTO","M1K 2P3"
"21",9000026,103731831,"2-4-1 PIZZA",2.5,2,"European","Food Take Out","Pass",2,"18-05-2016","NA - Not Applicable","No Action Required","2372 EGLINTON AVE E","SCARBOROUGH","TORONTO","M1K 2P3"
"22",9000026,103816910,"2-4-1 PIZZA",2.5,2,"European","Food Take Out","Pass",2,"21-09-2016","NA - Not Applicable","No Action Required","2372 EGLINTON AVE E","SCARBOROUGH","TORONTO","M1K 2P3"
"23",9000029,103456325,"2-4-1 PIZZA",2.5,2,"European","Food Take Out","Pass",2,"30-03-2015","M - Minor","Notice to Comply","2548 EGLINTON AVE W","YORK","TORONTO","M6M 1T1"
"24",9000029,103633225,"2-4-1 PIZZA",2.5,2,"European","Food Take Out","Pass",2,"22-12-2015","NA - Not Applicable","No Action Required","2548 EGLINTON AVE W","YORK","TORONTO","M6M 1T1"
"25",9000029,103752798,"2-4-1 PIZZA",2.5,2,"European","Food Take Out","Pass",2,"16-06-2016","NA - Not Applicable","No Action Required","2548 EGLINTON AVE W","YORK","TORONTO","M6M 1T1"
"26",9000031,103484365,"2-4-1 PIZZA",2.5,2,"European","Food Take Out","Conditional Pass",2,"07-05-2015","C - Crucial","Notice to Comply","759 JANE ST","YORK","TORONTO","M6N 4B4"
"27",9000031,103484366,"2-4-1 PIZZA",2.5,2,"European","Food Take Out","Pass",2,"08-05-2015","NA - Not Applicable","No Action Required","759 JANE ST","YORK","TORONTO","M6N 4B4"
"28",9000031,103761458,"2-4-1 PIZZA",2.5,2,"European","Food Take Out","Pass",2,"29-06-2016","NA - Not Applicable","No Action Required","759 JANE ST","YORK","TORONTO","M6N 4B4"
"29",9000031,103836863,"2-4-1 PIZZA",2.5,2,"European","Food Take Out","Pass",2,"24-10-2016","NA - Not Applicable","No Action Required","759 JANE ST","YORK","TORONTO","M6N 4B4"
